No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Dividend,Payout Ratio,EPS,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,EPS Q/Q,Sales Q/Q,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Beta,ATR,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,from Open,Gap,Recom,Avg Volume,Rel Volume,Price,Change,Volume,Earnings,Target Price,IPO Date
4650,WLH,William Lyon Homes,Industrial Goods,Residential Construction,USA,709.72M,14.18,9.13,1.42,0.50,1.16,16.66,34.29,-,0.00%,1.55,4.90%,19.13%,15.90%,10.00%,44.00%,-10.30%,17.40%,32.26M,28.58M,18.60%,-4.31%,-,-2.81%,17.20%,13.28,2.90%,9.00%,3.30%,-,-,1.55,1.55,17.10%,6.70%,4.20%,0.73%,5.77%,24.08%,18.34%,49.46%,15.61%,2.14,0.57,2.76%,2.57%,5.38%,9.34%,18.91%,-2.91%,26.29%,-2.91%,71.87%,64.74,-1.43%,0.18%,2.40,370.06K,0.32,22.00,-1.26%,"118,071",May 09/b,21.33,
4649,WLFC,Willis Lease Finance Corporation,Services,Rental & Leasing Services,USA,143.98M,10.96,-,0.73,0.69,0.71,14.26,-,-,0.00%,2.07,153.80%,-,9.90%,15.00%,5.90%,-0.10%,2.20%,6.34M,3.23M,14.90%,-4.76%,39.10%,0.04%,2.00%,2.16,1.10%,6.90%,1.30%,-,-,4.59,4.59,93.60%,11.50%,6.60%,2.16%,1.84%,-12.11%,-12.82%,-7.98%,-11.22%,0.49,0.68,2.57%,2.76%,1.59%,-4.63%,-9.68%,-15.70%,7.63%,-19.05%,7.63%,47.13,0.08%,-0.35%,1.00,29.73K,0.25,22.71,-0.26%,"7,545",Mar 20/a,32.00,
4648,WLDN,"Willdan Group, Inc.",Services,Technical Services,USA,238.59M,29.34,20.56,-,1.14,4.74,10.51,11.99,-,0.00%,0.97,84.60%,17.95%,31.70%,-,14.30%,288.20%,82.20%,8.41M,7.91M,3.70%,-20.81%,46.80%,2.10%,2.57%,1.38,8.10%,18.10%,15.00%,1.50,1.10,0.05,0.13,50.10%,5.50%,4.00%,-10.34%,-6.15%,2.20%,75.02%,160.04%,25.59%,1.76,1.57,8.68%,4.67%,-9.01%,-6.77%,27.54%,-22.05%,7.03%,-22.05%,190.68%,41.91,-2.44%,0.00%,1.30,146.51K,0.66,28.37,-2.44%,"96,677",Mar 09/a,34.67,
4647,WLB,Westmoreland Coal Company,Basic Materials,Nonmetallic Mineral Mining,USA,198.17M,-,-,-,0.13,-,3.30,1.87,-,-,-1.43,87.70%,-28.10%,10.90%,10.00%,24.10%,80.50%,13.50%,18.59M,15.74M,20.44%,-1.25%,72.60%,0.65%,3.80%,1.89,-1.60%,4.50%,20.50%,1.00,0.70,-,-,21.70%,2.60%,-1.80%,-11.17%,-28.36%,-42.22%,15.37%,46.03%,-39.67%,1.21,0.73,5.33%,5.26%,-20.80%,-23.45%,-18.35%,-39.74%,-1.20%,-46.49%,73.33%,22.23,-1.75%,-0.18%,1.80,315.75K,0.86,10.66,-1.93%,"271,484",Mar 28/a,17.25,
4646,WKHS,Workhorse Group Inc.,Consumer Goods,Auto Parts,USA,76.19M,-,-,-,11.91,20.40,152.39,-,-,-,-0.81,-42.40%,16.20%,21.30%,-,102.10%,-4.10%,-,37.35M,23.43M,11.90%,-,8.90%,-0.03%,8.30%,8.13,-189.20%,-349.80%,-314.70%,0.90,0.30,0.55,0.63,-,-,-,-8.93%,-20.93%,-33.98%,-70.18%,-71.39%,-71.10%,-0.70,0.21,7.29%,10.22%,-9.87%,-18.69%,-63.76%,-44.57%,10.27%,-80.19%,10.27%,38.35,-1.45%,-0.96%,2.00,239.02K,0.70,2.04,-2.39%,"167,474",Mar 14/b,7.00,
4645,WK,Workiva Inc.,Technology,Application Software,USA,686.28M,-,-,-,3.84,-,10.95,-,-,-,-1.08,0.70%,34.20%,-25.80%,-,64.40%,28.20%,16.30%,40.85M,18.42M,4.10%,-3.01%,38.70%,5.96%,6.95%,8.06,-33.80%,-775.40%,-242.20%,1.00,1.00,-,-,71.10%,-24.40%,-24.60%,1.82%,6.33%,29.23%,2.44%,40.23%,23.08%,-,0.42,2.53%,2.39%,3.61%,9.22%,9.37%,-2.04%,29.23%,-11.76%,50.81%,65.47,0.30%,0.30%,2.00,158.68K,0.64,16.80,0.60%,"101,474",May 04/a,16.33,
4644,WIX,WIX.COM LTD.,Technology,Internet Information Providers,Israel,3.69B,-,85.09,-,12.74,-,21.57,102.34,-,-,-1.13,14.30%,211.58%,5.10%,-,63.80%,52.10%,48.20%,44.81M,43.34M,20.99%,0.00%,94.90%,0.45%,1.94%,1.00,-25.80%,480.60%,1885.60%,1.00,1.00,-,-,84.40%,-15.20%,-16.20%,16.78%,23.52%,50.73%,93.09%,234.08%,85.07%,2.52,3.77,7.26%,5.14%,10.89%,19.65%,63.92%,-4.29%,46.19%,-4.29%,242.50%,71.75,1.23%,0.31%,2.10,837.46K,1.22,82.45,1.54%,"1,023,232",May 10/b,70.31,
4643,WIT,Wipro Limited,Technology,Information Technology Services,India,19.05B,18.38,17.37,1.75,2.25,3.04,3.69,64.16,0.41%,8.60%,0.54,2.80%,6.58%,9.70%,10.50%,13.60%,-4.20%,6.40%,1.93B,662.23M,79.00%,0.00%,2.40%,-0.07%,2.22%,24.98,11.20%,17.40%,10.30%,2.20,2.10,0.04,0.31,29.30%,17.20%,15.50%,1.55%,-3.90%,3.79%,3.14%,-18.64%,2.08%,0.97,0.16,1.86%,1.61%,-0.47%,-0.53%,-1.02%,-5.38%,3.90%,-20.76%,9.44%,48.82,-0.10%,0.31%,3.50,587.85K,1.39,9.85,0.20%,"818,467",Apr 25/a,9.25,
4642,WIRE,Encore Wire Corporation,Technology,Diversified Electronics,USA,905.22M,27.13,15.24,2.71,0.96,1.60,9.45,78.71,0.18%,4.90%,1.63,-28.90%,16.23%,9.60%,10.00%,-4.40%,3.90%,-4.70%,20.48M,20.04M,0.30%,-30.92%,96.20%,-0.06%,2.33%,5.97,5.30%,6.10%,5.90%,7.40,5.60,0.00,0.00,12.80%,5.40%,3.60%,4.00%,-2.28%,1.42%,27.86%,12.18%,2.05%,2.07,1.32,2.97%,2.81%,0.06%,-3.12%,7.20%,-11.12%,5.74%,-11.12%,31.28%,46.35,-3.18%,-0.11%,2.00,78.14K,0.77,44.20,-3.28%,"60,133",Apr 26,48.50,
4641,WINT,"Windtree Therapeutics, Inc.",Healthcare,Biotechnology,USA,10.92M,-,-,-,5.46,-,1.95,-,-,-,-4.76,40.10%,-37.30%,18.20%,-,28.50%,38.20%,28.60%,9.58M,9.38M,0.10%,0.00%,27.20%,-0.04%,6.14%,2.81,-184.00%,219.80%,1000.90%,0.50,0.50,-,-,-,-,-,-2.56%,0.00%,-16.18%,-48.18%,-58.70%,-8.80%,1.63,0.10,5.87%,10.24%,-4.72%,-5.96%,-33.56%,-31.33%,25.27%,-74.21%,25.27%,45.25,-4.20%,0.00%,1.50,205.08K,0.83,1.14,-4.20%,"170,136",Apr 10/a,5.65,
4640,WING,Wingstop Inc.,Services,Restaurants,USA,843.76M,55.22,37.40,3.39,9.23,-,222.04,-,-,537.90%,0.53,46.60%,22.97%,-,16.30%,-,13.60%,20.40%,28.67M,28.49M,0.60%,-98.75%,21.40%,29.02%,26.25%,15.19,13.50%,-38.70%,26.10%,0.70,-,-,-,72.30%,31.80%,16.90%,4.10%,4.88%,4.51%,9.04%,34.90%,-0.54%,-,0.68,2.69%,2.08%,3.49%,7.51%,2.52%,-2.81%,18.95%,-11.94%,36.87%,64.19,-0.47%,0.20%,1.90,492.23K,0.83,29.43,-0.27%,"409,014",May 04/a,33.00,
4639,WINA,Winmark Corporation,Services,"Specialty Retail, Other",USA,533.18M,24.41,-,-,7.84,-,29.14,-,0.31%,7.20%,5.29,9.50%,-,13.80%,-,5.30%,15.10%,8.60%,4.13M,2.34M,38.20%,-6.77%,40.80%,-0.59%,2.16%,7.00,50.60%,-193.20%,65.70%,2.50,2.50,-,-,96.90%,57.90%,33.90%,2.95%,14.50%,11.68%,21.51%,31.60%,2.34%,0.66,2.56,2.39%,2.29%,5.93%,11.13%,16.00%,-2.47%,17.47%,-2.99%,41.46%,74.72,-0.46%,-0.31%,-,7.23K,1.19,129.10,-0.77%,"8,572",Feb 24,-,
4638,WIN,"Windstream Holdings, Inc.",Technology,Telecom Services - Domestic,USA,1.01B,-,-,-,0.19,3.08,17.09,-,10.87%,-,-4.04,75.80%,22.70%,-32.70%,20.50%,4.70%,-163.20%,-8.30%,183.01M,181.70M,0.80%,0.00%,38.80%,2.23%,16.16%,8.58,-3.20%,-141.90%,4.40%,0.70,0.60,56.94,58.02,48.50%,5.70%,-7.20%,-1.60%,4.15%,-31.39%,-29.53%,-32.25%,-22.97%,0.37,0.18,2.86%,2.97%,-1.17%,-10.07%,-26.36%,-28.94%,8.10%,-44.96%,8.10%,35.41,-1.95%,0.00%,3.00,3.42M,0.74,5.52,-1.95%,"2,526,340",May 04/b,8.57,
4637,WILN,Wi-Lan Inc.,Technology,Wireless Communications,Canada,238.33M,22.33,5.15,1.12,2.57,0.98,-,-,1.99%,-,0.09,111.80%,8.30%,-3.86%,20.00%,-,186.90%,16.00%,118.57M,114.85M,-,-,-,-,0.03%,0.45,-,-,-,-,-,-,-,-,-,-,-7.37%,10.44%,17.54%,34.90%,-11.84%,23.31%,-,0.09,4.28%,4.54%,1.01%,6.12%,16.94%,-8.54%,16.18%,-33.88%,58.27%,52.97,0.50%,0.00%,1.30,85.98K,1.25,2.01,0.50%,"107,816",May 03/b,3.04,
4636,WILC,G. Willi-Food International Ltd.,Consumer Goods,Food - Major Diversified,Israel,76.24M,26.16,-,1.74,0.95,0.73,1.19,16.22,6.48%,177.40%,0.22,56.80%,-,-4.70%,15.00%,2.20%,-109.20%,-18.20%,13.01M,4.10M,58.00%,0.00%,10.70%,-35.66%,0.09%,0.51,2.50%,2.70%,4.50%,18.70,16.60,0.00,0.00,26.00%,7.70%,3.70%,-7.28%,4.13%,-9.48%,3.90%,61.87%,1.56%,0.41,0.23,3.69%,3.37%,-1.29%,-4.98%,2.54%,-9.85%,7.92%,-15.07%,72.35%,45.84,-2.98%,1.34%,1.00,7.28K,0.92,5.86,-1.68%,"6,700",Mar 28,10.00,
4635,WIFI,"Boingo Wireless, Inc.",Technology,Diversified Communication Services,USA,552.74M,-,-,-,3.47,5.60,28.35,69.97,-,-,-0.72,-18.80%,26.90%,-47.60%,-,11.00%,-16.00%,16.00%,38.68M,37.47M,2.30%,-3.16%,91.50%,0.24%,4.46%,7.13,-7.40%,-27.10%,-21.50%,0.70,0.70,0.21,0.26,30.10%,-16.30%,-17.20%,1.85%,10.18%,19.38%,48.24%,83.68%,17.23%,0.76,0.40,2.82%,2.61%,5.49%,13.70%,29.83%,-2.92%,36.62%,-2.92%,117.84%,68.79,0.07%,-0.14%,1.90,234.03K,1.01,14.29,-0.07%,"237,118",Mar 07/a,13.92,
4634,WHR,Whirlpool Corporation,Consumer Goods,Appliances,USA,13.96B,16.12,10.61,1.28,0.67,2.93,12.87,56.08,2.15%,33.40%,11.52,17.10%,13.03%,18.20%,12.60%,2.10%,2.90%,1.70%,75.20M,73.97M,0.10%,-64.40%,95.40%,-0.92%,6.50%,6.04,4.50%,18.30%,12.60%,1.00,0.60,0.81,0.94,17.80%,6.50%,4.30%,8.26%,8.53%,9.29%,25.64%,8.71%,2.73%,1.65,3.25,2.18%,1.76%,8.32%,6.83%,7.93%,-0.50%,12.66%,-2.75%,28.75%,78.55,-0.10%,0.01%,2.30,795.68K,1.22,185.68,-0.10%,"970,446",Apr 24/a,199.63,
4633,WHLR,"Wheeler Real Estate Investment Trust, Inc.",Financial,REIT - Retail,USA,113.74M,-,-,-,2.57,2.12,23.21,-,12.58%,-,-1.99,90.90%,8.30%,-,-,87.10%,-23.40%,30.40%,8.52M,8.36M,2.30%,157.56%,44.20%,-9.45%,4.33%,1.11,-4.10%,-24.60%,-0.10%,-,-,5.71,5.71,73.10%,-0.80%,-36.00%,-2.84%,667.24%,689.94%,680.70%,833.57%,685.29%,1.20,0.56,2.06%,2.54%,8.18%,123.53%,381.99%,-7.30%,704.22%,-7.30%,853.57%,77.90,-1.91%,-0.22%,1.70,325.85K,0.20,13.35,-2.13%,"64,513",May 01/a,20.67,
4632,WHLM,"Wilhelmina International, Inc.",Services,Management Services,USA,35.02M,723.33,-,-,0.43,1.38,6.14,26.94,-,0.00%,0.01,-93.40%,-,-41.40%,-,8.20%,-787.80%,-8.80%,5.38M,2.61M,70.46%,0.00%,51.80%,13.83%,0.18%,14.79,0.20%,0.40%,0.40%,1.30,1.30,0.08,0.66,28.60%,1.20%,0.10%,-11.37%,-10.21%,-25.60%,-16.28%,5.68%,-25.85%,1.34,0.38,2.45%,0.99%,-10.62%,-12.44%,-17.11%,-23.14%,12.24%,-53.90%,19.23%,41.21,0.00%,0.00%,2.00,0.32K,4.25,6.51,0.00%,0,Mar 27/a,-,
4631,WHG,"Westwood Holdings Group, Inc.",Financial,Asset Management,USA,486.02M,19.97,-,-,3.95,3.05,5.39,18.55,4.44%,82.00%,2.79,-16.60%,-,6.40%,-,12.30%,68.60%,-1.60%,8.71M,7.94M,8.80%,-0.26%,62.80%,-0.09%,1.48%,5.50,13.40%,16.40%,15.50%,3.90,3.90,0.00,0.00,-,27.60%,18.40%,2.46%,8.14%,-1.74%,13.40%,-0.10%,-5.94%,1.43,1.56,2.98%,2.89%,2.83%,0.78%,2.56%,-9.71%,8.54%,-11.82%,16.59%,53.13,-0.64%,-0.47%,-,21.39K,0.90,55.80,-1.10%,"19,269",Apr 26/a,-,
4630,WHF,"WhiteHorse Finance, Inc.",Financial,Asset Management,USA,257.16M,8.22,10.12,0.79,4.78,1.03,15.13,-,10.10%,83.00%,1.71,-1.40%,-4.47%,7.44%,10.40%,-,154.80%,12.60%,18.29M,17.64M,0.90%,1.97%,74.50%,0.42%,0.12%,0.52,7.10%,12.70%,6.20%,-,-,0.74,0.74,55.60%,50.30%,58.20%,-2.70%,3.53%,12.30%,38.12%,58.95%,18.57%,0.76,0.33,3.22%,1.99%,0.00%,5.39%,21.11%,-4.22%,13.63%,-4.22%,64.40%,56.45,0.07%,0.00%,2.30,41.02K,0.91,14.06,0.07%,"37,290",May 05/b,13.25,
4629,WGP,"Western Gas Equity Partners, LP",Basic Materials,Oil & Gas Pipelines,USA,9.89B,29.97,22.25,0.68,5.48,9.56,27.54,167.59,4.28%,111.90%,1.53,288.30%,21.92%,32.49%,43.82%,15.70%,372.00%,22.60%,215.94M,39.90M,0.10%,0.00%,18.00%,0.02%,2.75%,8.33,4.40%,33.00%,16.70%,1.90,1.90,2.98,2.98,72.60%,39.00%,18.50%,2.01%,3.03%,0.56%,6.68%,14.64%,10.41%,1.59,1.19,2.95%,2.53%,1.34%,1.41%,10.42%,-3.20%,7.06%,-3.20%,40.82%,56.59,2.44%,0.72%,2.60,131.66K,0.68,45.79,3.18%,"89,386",May 02/a,49.43,
4628,WGO,"Winnebago Industries, Inc.",Consumer Goods,Recreational Vehicles,USA,906.26M,14.92,10.71,-,0.79,2.25,83.14,22.77,1.39%,20.70%,1.92,10.50%,21.88%,32.90%,-,14.50%,39.30%,64.20%,31.58M,31.13M,3.00%,1.37%,91.20%,1.31%,8.88%,6.21,8.60%,16.50%,16.80%,1.90,1.00,0.79,0.82,12.20%,7.50%,4.70%,9.33%,-2.83%,-8.97%,1.99%,33.51%,-8.69%,2.04,0.90,3.10%,3.01%,6.53%,-3.41%,0.49%,-17.45%,14.34%,-26.47%,44.29%,53.41,-1.37%,-0.17%,-,444.83K,1.40,28.70,-1.54%,"621,007",Mar 22/b,-,
4627,WGL,"WGL Holdings, Inc.",Utilities,Gas Utilities,USA,4.23B,26.55,22.00,3.54,1.80,2.93,328.18,-,2.47%,61.60%,3.11,26.40%,7.48%,7.80%,7.50%,-3.10%,-17.30%,-0.60%,51.34M,50.79M,0.20%,0.00%,69.50%,0.25%,2.49%,3.70,2.60%,11.20%,6.40%,0.80,0.60,1.00,1.44,41.80%,12.30%,6.70%,0.39%,0.27%,2.18%,35.85%,26.43%,9.47%,0.66,0.54,0.73%,0.66%,0.20%,0.13%,14.80%,-1.32%,1.33%,-1.32%,42.35%,51.11,-0.05%,0.04%,3.20,341.74K,1.09,82.46,-0.01%,"372,668",May 03/a,77.80,
4626,WG,"Willbros Group, Inc.",Basic Materials,Oil & Gas Equipment & Services,USA,168.52M,-,59.78,-,0.23,1.26,4.07,-,-,-,-0.71,36.20%,127.80%,30.60%,5.00%,-11.90%,22.00%,-24.50%,61.28M,52.40M,1.10%,0.00%,63.40%,0.03%,1.90%,5.68,-12.00%,-31.30%,-13.50%,1.90,1.80,0.66,0.66,6.30%,-4.20%,-6.50%,5.36%,-1.08%,-15.90%,58.05%,-13.79%,-15.12%,2.89,0.16,6.94%,5.64%,1.01%,-0.59%,12.63%,-14.86%,17.02%,-28.39%,93.66%,48.45,-5.17%,0.35%,3.30,174.86K,0.53,2.75,-4.84%,"92,778",Mar 07/a,1.35,
4625,WFT,Weatherford International plc,Basic Materials,Oil & Gas Equipment & Services,Switzerland,5.68B,-,-,-,0.99,2.68,5.48,-,-,-,-3.81,-50.10%,88.50%,33.99%,-,-15.00%,62.00%,-30.10%,985.11M,974.51M,0.70%,-0.45%,92.50%,0.22%,13.98%,5.88,-25.20%,-104.00%,-28.60%,2.00,1.30,3.68,3.77,9.70%,-39.20%,-59.00%,5.48%,-12.97%,9.70%,0.52%,-27.88%,15.63%,2.37,0.31,5.85%,4.68%,-5.73%,-5.20%,2.37%,-18.62%,8.46%,-30.82%,54.69%,44.91,-2.86%,5.69%,2.10,23.17M,1.77,5.77,2.67%,"40,988,719",Apr 27/a,7.68,
4624,WFM,"Whole Foods Market, Inc.",Services,Grocery Stores,USA,11.57B,26.30,26.96,-,0.73,3.51,15.98,55.37,1.54%,39.00%,1.38,4.40%,1.50%,9.90%,-2.65%,9.20%,-35.80%,1.80%,318.20M,313.94M,0.30%,-4.56%,94.20%,8.37%,12.43%,6.36,7.00%,13.70%,12.60%,1.50,1.10,0.32,0.32,34.30%,4.90%,2.80%,1.85%,25.39%,20.55%,29.11%,24.34%,19.33%,0.64,0.82,2.87%,2.73%,8.95%,16.57%,20.07%,-2.57%,28.75%,-2.57%,33.29%,73.85,-1.70%,0.27%,3.20,6.13M,0.49,36.37,-1.44%,"3,019,436",May 10/a,29.19,
4623,WFC,Wells Fargo & Company,Financial,Money Center Banks,USA,269.66B,13.47,11.89,1.81,4.91,1.53,0.66,-,2.82%,37.60%,4.00,-3.20%,8.11%,7.20%,7.43%,1.70%,0.80%,9.70%,5.01B,5.00B,0.10%,-59.65%,77.40%,-0.09%,0.63%,1.73,1.10%,11.50%,7.90%,-,-,1.46,1.46,-,82.10%,37.00%,1.58%,-3.29%,-4.21%,18.43%,10.13%,-1.64%,0.95,1.06,1.43%,1.70%,-0.48%,-4.43%,4.51%,-10.25%,5.03%,-10.25%,25.50%,43.74,-0.90%,-0.20%,2.70,18.13M,0.89,53.84,-1.10%,"16,195,416",Apr 13/b,57.61,
4622,WFBI,"WashingtonFirst Bankshares, Inc.",Financial,Regional - Mid-Atlantic Banks,USA,357.53M,20.49,16.50,-,4.84,1.88,3.67,19.43,1.00%,16.30%,1.37,21.60%,11.44%,18.40%,-,24.80%,19.00%,11.60%,12.71M,7.85M,9.00%,0.59%,49.10%,8.56%,0.99%,3.26,1.00%,9.50%,21.00%,-,-,0.17,0.17,-,77.80%,24.40%,0.61%,0.79%,0.26%,22.12%,30.31%,-2.72%,0.11,0.58,1.27%,2.07%,1.43%,1.28%,10.03%,-2.41%,7.28%,-7.78%,52.61%,55.20,-0.64%,-0.42%,3.00,23.82K,1.05,28.13,-1.06%,"24,966",May 04,26.67,
4621,WF,"Woori Bank Co., Ltd.",Financial,Foreign Regional Banks,South Korea,8.81B,9.65,7.91,1.61,1.18,0.51,-,-,5.29%,-,4.12,20.40%,8.66%,-8.30%,6.00%,-5.20%,-,-,221.72M,97.89M,57.00%,0.00%,0.20%,-0.45%,0.00%,1.08,-,-,6.60%,-,-,-,-,-,-,-,4.12%,11.79%,16.96%,20.40%,42.26%,24.13%,1.20,0.59,0.98%,0.83%,6.96%,8.99%,22.07%,-1.39%,15.20%,-1.39%,66.61%,67.87,0.18%,0.00%,3.00,4.08K,0.65,39.72,0.18%,"2,634",Jun 05/a,38.00,
4620,WEYS,"Weyco Group, Inc.",Consumer Goods,Textile - Apparel Footwear & Accessories,USA,290.50M,17.87,18.27,-,0.98,1.44,15.87,9.02,3.00%,52.10%,1.57,-7.10%,6.99%,2.70%,-,1.80%,20.30%,-6.10%,10.39M,6.28M,7.90%,-0.61%,32.70%,-0.06%,3.12%,11.87,6.10%,8.40%,7.80%,5.00,2.60,0.00,0.02,37.70%,7.20%,5.50%,-0.07%,0.18%,-3.43%,10.80%,3.37%,-9.94%,0.68,0.54,0.92%,1.96%,-0.04%,1.98%,2.43%,-2.24%,18.69%,-12.73%,18.69%,50.84,-0.62%,0.66%,3.00,16.47K,0.74,27.96,0.04%,"12,248",May 02/a,26.00,
4619,WEX,WEX Inc.,Services,Business Services,USA,4.35B,67.64,16.52,5.64,4.27,2.90,22.78,-,-,0.00%,1.50,-43.50%,15.17%,-15.40%,12.00%,13.00%,-77.20%,36.80%,42.86M,42.39M,0.50%,-7.93%,-,0.03%,5.58%,5.98,1.20%,4.60%,4.50%,-,-,1.42,1.47,51.40%,19.20%,6.00%,-2.94%,-1.61%,-12.21%,-4.18%,7.95%,-9.09%,1.82,2.43,3.10%,2.13%,-2.13%,-4.31%,-4.27%,-11.83%,1.88%,-17.45%,25.77%,40.26,-1.92%,0.98%,2.50,395.71K,2.07,101.46,-0.97%,"818,042",Apr 27/b,118.15,
4618,WETF,"WisdomTree Investments, Inc.",Financial,Asset Management,USA,1.11B,43.72,24.49,-,5.08,5.57,-,110.34,3.83%,166.40%,0.19,-66.50%,48.26%,53.30%,-5.07%,27.50%,-87.30%,-33.60%,133.46M,114.21M,15.10%,0.49%,90.60%,0.43%,29.73%,11.07,10.60%,12.80%,13.00%,4.10,4.10,0.00,0.00,-,25.30%,11.90%,-2.34%,-4.68%,-18.46%,-15.06%,-29.42%,-25.04%,3.04,0.30,3.69%,3.55%,-4.12%,-6.24%,-16.96%,-14.01%,3.09%,-37.31%,4.38%,40.53,-0.12%,-0.12%,3.10,3.07M,1.53,8.35,-0.24%,"4,693,586",Apr 28/b,9.94,
4617,WES,"Western Gas Partners, LP",Basic Materials,Oil & Gas Pipelines,USA,8.52B,31.35,20.46,5.22,4.72,2.55,23.81,-,5.96%,175.70%,1.87,202.00%,19.63%,3.60%,6.00%,15.70%,124.50%,22.60%,145.12M,73.28M,39.46%,0.00%,53.80%,0.15%,2.25%,5.34,3.50%,8.10%,11.00%,1.90,1.90,0.94,0.94,72.60%,39.20%,14.80%,0.46%,-0.70%,-5.27%,6.01%,29.91%,2.81%,1.14,1.11,1.86%,1.74%,-1.15%,-2.71%,6.81%,-11.67%,2.34%,-11.67%,38.11%,43.81,-0.63%,0.72%,2.30,308.88K,1.06,58.71,0.09%,"328,890",May 02/a,66.59,
4616,WERN,"Werner Enterprises, Inc.",Services,Trucking,USA,1.94B,24.98,19.51,2.27,0.96,1.98,113.89,-,0.88%,21.90%,1.09,-35.90%,21.55%,-4.90%,11.00%,0.10%,-40.40%,-1.90%,70.92M,45.91M,9.90%,-0.39%,68.60%,0.04%,14.57%,7.83,4.60%,8.10%,6.60%,1.70,1.70,0.16,0.18,83.80%,6.30%,3.90%,0.55%,5.24%,-0.68%,13.55%,5.30%,1.53%,0.74,0.96,2.83%,3.36%,5.00%,2.28%,6.72%,-9.60%,12.81%,-9.60%,29.12%,56.31,-1.97%,0.18%,3.10,854.97K,0.91,27.30,-1.80%,"778,379",Apr 20/a,27.46,
4615,WEN,The Wendy's Company,Services,Restaurants,USA,3.57B,30.14,26.23,1.82,2.49,7.02,18.02,-,1.90%,49.40%,0.49,14.10%,22.17%,61.70%,16.53%,-10.00%,-65.20%,-33.30%,242.32M,228.78M,6.90%,156.72%,80.50%,-0.06%,5.62%,4.48,3.20%,19.70%,8.00%,2.00,2.00,4.71,4.76,39.60%,21.90%,9.00%,2.86%,8.54%,7.60%,40.48%,36.36%,9.58%,0.95,0.26,1.74%,1.75%,6.21%,7.77%,21.96%,-1.27%,13.12%,-1.27%,63.72%,72.05,-0.67%,0.34%,2.50,2.87M,0.66,14.74,-0.34%,"1,901,490",May 10/b,14.24,
4614,WEC,"WEC Energy Group, Inc.",Utilities,Electric Utilities,USA,19.33B,20.43,18.42,3.64,2.59,2.14,515.36,352.02,3.44%,66.60%,2.96,26.60%,6.00%,6.30%,5.61%,10.70%,8.70%,6.20%,319.33M,315.01M,0.10%,-19.84%,72.30%,0.39%,2.78%,4.53,3.20%,10.60%,5.80%,0.90,0.70,1.03,1.14,64.60%,22.50%,12.60%,0.36%,-0.67%,4.87%,4.68%,7.77%,4.12%,0.09,0.69,0.97%,1.08%,-0.21%,0.95%,2.84%,-1.64%,6.87%,-6.09%,13.81%,49.52,-0.35%,-0.16%,2.50,1.93M,1.48,60.52,-0.51%,"2,859,829",May 02/b,60.23,
4613,WEBK,"Wellesley Bancorp, Inc.",Financial,Regional - Northeast Banks,USA,68.97M,22.32,-,-,2.78,1.18,2.01,-,0.58%,11.90%,1.24,9.10%,-,8.30%,-,13.90%,-22.50%,6.70%,2.49M,1.67M,0.90%,6.66%,7.60%,-5.75%,0.08%,0.84,0.40%,5.40%,11.90%,-,-,1.68,1.68,-,78.50%,11.80%,2.59%,6.54%,3.70%,16.49%,43.02%,-0.04%,-0.02,0.62,2.88%,1.42%,3.76%,2.43%,12.67%,-1.81%,16.88%,-1.81%,43.32%,56.96,9.36%,-6.88%,-,1.64K,0.26,27.70,1.84%,429,Jan 26,-,
4612,WEB,"Web.com Group, Inc.",Technology,Internet Information Providers,USA,967.32M,247.44,6.13,67.11,1.36,4.03,47.42,9.15,-,0.00%,0.08,-95.40%,9.72%,17.00%,3.69%,29.00%,-97.40%,35.40%,50.12M,49.21M,3.30%,-4.05%,90.90%,-0.07%,3.37%,5.50,0.30%,1.70%,3.80%,0.40,0.40,2.75,2.82,68.20%,6.30%,0.60%,6.63%,0.78%,-0.77%,17.33%,-4.17%,-8.75%,0.63,0.54,2.40%,2.96%,5.18%,0.57%,6.14%,-7.43%,11.88%,-14.22%,49.61%,59.65,-0.77%,0.52%,2.40,302.04K,0.75,19.30,-0.26%,"226,164",May 04/a,23.33,
4611,WDR,"Waddell & Reed Financial, Inc.",Financial,Asset Management,USA,1.49B,10.12,12.42,-,1.20,1.76,1.69,-,10.23%,103.50%,1.78,-39.60%,-9.27%,-2.40%,-13.58%,2.00%,-64.30%,-18.90%,82.79M,80.90M,1.80%,0.00%,89.50%,0.90%,18.09%,9.14,10.40%,17.60%,15.50%,3.70,3.70,0.22,0.22,45.10%,19.10%,11.90%,2.68%,10.06%,4.58%,12.47%,-3.69%,-2.98%,1.95,0.41,2.30%,2.15%,5.82%,3.73%,3.00%,-8.09%,14.77%,-15.68%,26.02%,62.15,0.62%,0.17%,3.70,1.60M,1.43,17.99,0.78%,"2,294,899",May 02/b,16.00,
